id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,6PRuBx,https://opswise.net/jade/meadow/1,Alert feed island,True,2025-04-19 12:10:42,2025-06-11 19:21:27
2,3,R4dwMz,https://opswise.net/gold/river/2,Incident notes kernel,True,2025-03-10 18:11:14,2025-09-09 10:11:40
3,11,AlzZKi,https://acme.dev/mellow/anchor/3,Alert feed delta,True,2025-12-20 18:51:42,2025-12-23 13:52:20
4,283,RrK5bP,https://seeded.app/lively/beacon/4,Demo link harvest,True,2026-01-27 18:40:10,2026-02-11 22:00:50
5,246,aPLrxQ,https://hackstack.io/gold/harvest/5,Launch deck harvest,True,2025-03-24 05:43:28,2025-11-22 20:53:23
6,306,hUDnoc,https://relay.cloud/urban/valley/6,Service guide journey,True,2026-01-07 20:28:44,2026-02-12 20:37:06
7,121,IjCKLE,https://seeded.app/dawn/yard/7,Campaign page lagoon,True,2025-10-27 21:00:35,2025-11-19 14:33:38
8,172,0iLR4E,https://hackstack.io/rapid/valley/8,Launch deck orbit,True,2025-02-23 07:57:27,2025-09-01 14:57:43
9,45,5TZ4pU,https://acme.dev/harbor/uplink/9,Roadmap update harvest,True,2025-07-07 19:14:46,2026-02-05 06:28:21
10,110,qa6lSJ,https://hackstack.io/young/meadow/10,Incident notes delta,False,2025-08-07 18:57:02,2025-08-26 15:08:41
11,254,0SmDRC,https://opswise.net/silver/meadow/11,Service guide orbit,True,2025-04-20 04:27:11,2025-10-09 03:38:43
12,151,xdy5qm,https://opswise.net/tidy/orbit/12,Incident notes window,True,2025-10-19 06:38:30,2025-11-10 09:13:04
13,218,LXTqHI,https://acme.dev/tidy/trail/13,Service guide beacon,True,2025-11-27 21:48:20,2025-12-29 15:02:11
14,293,z2PGHw,https://hackstack.io/quiet/delta/14,Ops review quartz,True,2025-09-24 22:44:52,2025-10-23 07:46:58
15,309,Pw0Dcl,https://hackstack.io/jade/network/15,Quarterly brief kernel,True,2025-11-17 06:39:27,2026-01-21 16:59:00
16,384,QAEadv,https://acme.dev/urban/garden/16,Roadmap update zenith,True,2025-02-19 00:33:27,2025-03-06 11:07:04
17,181,OzsMKL,https://relay.cloud/cobalt/window/17,Status board anchor,True,2025-05-24 16:12:42,2025-08-02 11:16:49
18,189,bQoUHB,https://seeded.app/opal/journey/18,Campaign page kernel,False,2025-05-14 23:22:37,2026-01-06 22:10:42
19,391,L0ymG4,https://seeded.app/forest/journey/19,Campaign page quartz,True,2025-06-19 06:19:55,2025-09-18 04:55:06
